Date,Open,High,Low,Close,__source_file__
2020-12-03,"3,668.28","3,682.73","3,657.17","3,666.72",Download Data - INDEX_US_S&P US_SPX-2020.csv
2020-12-04,"3,670.94","3,699.20","3,670.94","3,699.12",Download Data - INDEX_US_S&P US_SPX-2020.csv
2020-12-07,"3,694.73","3,697.41","3,678.88","3,691.96",Download Data - INDEX_US_S&P US_SPX-2020.csv
2020-12-08,"3,683.05","3,708.45","3,678.83","3,702.25",Download Data - INDEX_US_S&P US_SPX-2020.csv
2020-12-09,"3,705.98","3,712.39","3,660.54","3,672.82",Download Data - INDEX_US_S&P US_SPX-2020.csv
2020-12-10,"3,659.13","3,678.49","3,645.18","3,668.10",Download Data - INDEX_US_S&P US_SPX-2020.csv
2020-12-11,"3,656.08","3,665.91","3,633.40","3,663.46",Download Data - INDEX_US_S&P US_SPX-2020.csv
2020-12-14,"3,675.27","3,697.61","3,645.84","3,647.49",Download Data - INDEX_US_S&P US_SPX-2020.csv
2020-12-15,"3,666.41","3,695.29","3,659.62","3,694.62",Download Data - INDEX_US_S&P US_SPX-2020.csv
2020-12-16,"3,696.25","3,711.27","3,688.57","3,701.17",Download Data - INDEX_US_S&P US_SPX-2020.csv
2020-12-17,"3,713.65","3,725.12","3,710.87","3,722.48",Download Data - INDEX_US_S&P US_SPX-2020.csv
2020-12-18,"3,722.39","3,726.70","3,685.84","3,709.41",Download Data - INDEX_US_S&P US_SPX-2020.csv
2020-12-21,"3,684.28","3,702.90","3,636.48","3,694.92",Download Data - INDEX_US_S&P US_SPX-2020.csv
2020-12-22,"3,698.08","3,698.26","3,676.16","3,687.26",Download Data - INDEX_US_S&P US_SPX-2020.csv
2020-12-23,"3,693.42","3,711.24","3,689.28","3,690.01",Download Data - INDEX_US_S&P US_SPX-2020.csv
2020-12-24,"3,694.03","3,703.82","3,689.32","3,703.06",Download Data - INDEX_US_S&P US_SPX-2020.csv
2020-12-28,"3,723.03","3,740.51","3,723.03","3,735.36",Download Data - INDEX_US_S&P US_SPX-2020.csv
2020-12-29,"3,750.01","3,756.12","3,723.31","3,727.04",Download Data - INDEX_US_S&P US_SPX-2020.csv
2020-12-30,"3,736.19","3,744.63","3,730.21","3,732.04",Download Data - INDEX_US_S&P US_SPX-2020.csv
2020-12-31,"3,733.27","3,760.20","3,726.88","3,756.07",Download Data - INDEX_US_S&P US_SPX-2020.csv
2021-01-04,"3,764.61","3,769.99","3,662.71","3,700.65",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-01-05,"3,698.02","3,737.83","3,695.07","3,726.86",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-01-06,"3,712.20","3,783.04","3,705.34","3,748.14",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-01-07,"3,764.71","3,811.55","3,764.71","3,803.79",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-01-08,"3,815.05","3,826.69","3,783.60","3,824.68",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-01-11,"3,803.14","3,817.86","3,789.02","3,799.61",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-01-12,"3,801.62","3,810.78","3,776.51","3,801.19",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-01-13,"3,802.23","3,820.96","3,791.50","3,809.84",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-01-14,"3,814.98","3,823.60","3,792.86","3,795.54",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-01-15,"3,788.73","3,788.73","3,749.62","3,768.25",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-01-19,"3,781.88","3,804.53","3,780.37","3,798.91",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-01-20,"3,816.22","3,859.75","3,816.22","3,851.85",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-01-21,"3,857.46","3,861.45","3,845.05","3,853.07",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-01-22,"3,844.24","3,852.31","3,830.41","3,841.47",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-01-25,"3,851.68","3,859.23","3,797.16","3,855.36",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-01-26,"3,862.96","3,870.90","3,847.78","3,849.62",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-01-27,"3,836.83","3,836.83","3,732.48","3,750.77",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-01-28,"3,755.75","3,830.50","3,755.75","3,787.38",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-01-29,"3,778.05","3,778.05","3,694.12","3,714.24",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-02-01,"3,731.17","3,784.32","3,725.62","3,773.86",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-02-02,"3,791.84","3,843.09","3,791.84","3,826.31",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-02-03,"3,840.27","3,847.51","3,816.68","3,830.17",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-02-04,"3,836.66","3,872.42","3,836.66","3,871.74",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-02-05,"3,878.30","3,894.56","3,874.93","3,886.83",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-02-08,"3,892.59","3,915.77","3,892.59","3,915.59",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-02-09,"3,910.49","3,918.35","3,902.64","3,911.23",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-02-10,"3,920.78","3,931.50","3,884.94","3,909.88",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-02-11,"3,916.40","3,925.99","3,890.39","3,916.38",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-02-12,"3,911.65","3,937.23","3,905.78","3,934.83",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-02-16,"3,939.61","3,950.43","3,923.85","3,932.59",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-02-17,"3,918.50","3,933.61","3,900.43","3,931.33",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-02-18,"3,915.86","3,921.98","3,885.03","3,913.97",Download Data - INDEX_US_S&P US_SPX-2021.csv
2021-02-19,"3,921.16","3,930.41","3,903.07","3,906.71",Download Data - INDEX_US_S&P US_SPX-2021.csv
